array_sum: 0.010083 s (10000000.0)
array_sum: 0.009585 s (10000000.0)
sum: 0.004677 s (10000000.0)
py_sum: 1.384787 s (10000000.0)
         106794 function calls (103729 primitive calls) in 1.730 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:413(has_location)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2265(_IPv6Constants)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:33(seterr)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1854(_split_scope_id)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
       24    0.000    0.000    0.000    0.000 <frozen os>:674(__getitem__)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:1(<module>)
        3    0.000    0.000    0.000    0.000 gettext.py:471(find)
        3    0.000    0.000    0.000    0.000 argparse.py:1419(add_argument)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       12    0.000    0.000    0.000    0.000 _compiler.py:384(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        4    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
       81    0.000    0.000    0.000    0.000 typing.py:921(_is_unpacked_typevartuple)
       45    0.000    0.000    0.000    0.000 typing.py:289(_unpack_args)
        1    0.000    0.000    0.000    0.000 pickle.py:1137(_Unpickler)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1542(_IPv4Constants)
      306    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        3    0.000    0.000    0.000    0.000 argparse.py:1337(__init__)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
        6    0.000    0.000    0.000    0.000 gettext.py:216(_expand_lang)
       13    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
        1    0.000    0.000    0.191    0.191 __config__.py:1(<module>)
       21    0.000    0.000    0.000    0.000 _compiler.py:465(_get_charset_prefix)
       56    0.000    0.000    0.000    0.000 _compiler.py:568(isstring)
        1    0.000    0.000    0.003    0.003 _common.py:1(<module>)
       36    0.000    0.000    0.000    0.000 getlimits.py:16(_fr0)
       61    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
        1    0.000    0.000    0.001    0.001 _scalars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:1913(_parse_known_args)
       33    0.000    0.000    0.000    0.000 typing.py:1503(copy_with)
        2    0.000    0.000    0.000    0.000 core.py:2978(__array_finalize__)
       28    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
        7    0.000    0.000    0.000    0.000 typing.py:1563(__getitem__)
        7    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       41    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       13    0.000    0.000    0.000    0.000 core.py:8394(getdoc)
       38    0.000    0.000    0.000    0.000 _parser.py:94(closegroup)
        1    0.000    0.000    0.001    0.001 __init__.py:351(_sanity_check)
        1    0.000    0.000    0.000    0.000 numerictypes.py:441(_construct_lookups)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:18(ABCPolyBase)
       81    0.000    0.000    0.000    0.000 __init__.py:25(decorator)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
